IDBASE;LIBELLEFRANCAIS;GENRE;ESPECE;ADRESSE;TYPEEMPLACEMENT;DOMANIALITE;ARRONDISSEMENT;COMPLEMENTADRESSE;NUMERO;IDEMPLACEMENT;CIRCONFERENCE EN CM;HAUTEUR EN M;STADEDEVELOPPEMENT;PEPINIERE;VARIETE OU CULTIVAR;DATEPLANTATION;REMARQUABLE;Geo point
235972.0;Tilleul;Tilia;tomentosa;PLACE DE LA BATAILLE DE STALINGRAD;Arbre;Alignement;PARIS 19E ARRDT;19-05;;000103001;215.0;23.0;Mature;Inconnue;;1945-01-01T02:00:00+01:00;OUI;48.8830293243,2.37006279721
112897.0;Platane;Platanus;x hispanica;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Talus du Lac;;0417B1018;375.0;20.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8241339366,2.33796569737
2013640.0;Amandier;Prunus;dulcis;LES PLATEAUX SAUVAGES / 7 RUE DES PLATRIERES;Arbre;DAC;PARIS 20E ARRDT;;;000101001;240.0;9.0;Mature;Inconnue;;2000-01-01T02:00:00+01:00;OUI;48.8678069026,2.38883414897
2002387.0;Sequoia;Sequoiadendron;giganteum;ROUTE DE LA PORTE SAINT-JAMES;Arbre;Jardin;BOIS DE BOULOGNE;16-12;;001001001;335.0;28.0;Mature;Inconnue;;1850-01-01T01:02:49+00:53;OUI;48.8764740798,2.25749975507
2009036.0;Saule;Salix;babylonica;ETANG DE SURESNES / ROUTE DE SURESNES - ROUTE DES MOULINS;Arbre;Jardin;BOIS DE BOULOGNE;16-61;;000201001;285.0;10.0;Mature;Inconnue;;1901-01-01T01:09:21+01:00;OUI;48.8648104138,2.23370602002
132542.0;Platane;Platanus;orientalis;SQUARE MICHEL-FOUCAULT / 43Q RUE DES ECOLES;Arbre;Jardin;PARIS 5E ARRDT;;;00000001;395.0;24.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8493511595,2.34503292777
2002391.0;Arbre aux quarante écus;Ginkgo;biloba;BERGE DU LAC INFERIEUR - CHEMIN DE CEINTURE DU LAC INFERIEUR;Arbre;Jardin;BOIS DE BOULOGNE;16-01;;000101002;210.0;17.0;Mature;Inconnue;;1893-01-01T01:02:49+00:53;OUI;48.8629082876,2.26157034611
106981.0;Arbre aux quarante écus;Ginkgo;biloba;PARC MONTSOURIS / 28 BOULEVARD JOURDAN;Arbre;Jardin;PARIS 14E ARRDT;Flatters;;031401018;340.0;20.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8229510204,2.33747224929
134203.0;Marronnier;Aesculus;pavia;SQUARE DES EPINETTES;Arbre;Jardin;PARIS 17E ARRDT;17-04;;00000125;296.0;21.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8940926568,2.32633191622
109021.0;Platane;Platanus;x hispanica;SQUARE D AJACCIO / 127 RUE DE GRENELLE;Arbre;Jardin;PARIS 7E ARRDT;07-13;;000201005;480.0;25.0;Mature;Inconnue;;1700-01-01T01:02:49+00:53;OUI;48.8577757733,2.3145304731
